date,year,month,AverageTemperatureCelsius
1743-11-01,1743,11,3.43
1743-11-01,1743,11,4.493999999999999
1744-04-01,1744,4,8.934999999999999
1744-04-01,1744,4,8.309000000000001
1744-05-01,1744,5,12.223999999999998
1744-05-01,1744,5,11.037
1744-06-01,1744,6,15.325999999999995
1744-06-01,1744,6,13.725
1744-07-01,1744,7,16.047
1744-09-01,1744,9,13.29
1744-09-01,1744,9,12.717
1744-10-01,1744,10,6.998000000000001
1744-10-01,1744,10,7.813000000000001
1744-11-01,1744,11,2.7720000000000016
1744-11-01,1744,11,3.460000000000001
1744-12-01,1744,12,-2.684999999999999
1744-12-01,1744,12,-1.399
1745-01-01,1745,1,-6.074999999999999
1745-01-01,1745,1,-4.663
1745-02-01,1745,2,-4.867999999999999
1745-02-01,1745,2,-3.329
1745-03-01,1745,3,-0.3580000000000005
1745-03-01,1745,3,0.4650000000000018
1745-04-01,1745,4,6.221999999999998
1745-04-01,1745,4,5.936999999999999
1750-01-01,1750,1,-2.197
1750-01-01,1750,1,-1.515
1750-02-01,1750,2,-0.0320000000000004
1750-02-01,1750,2,1.3870000000000005
1750-03-01,1750,3,3.934999999999999
1750-03-01,1750,3,4.7810000000000015
1750-04-01,1750,4,8.352
1750-04-01,1750,4,7.386999999999999
1750-05-01,1750,5,12.825
1750-05-01,1750,5,11.675
1750-06-01,1750,6,16.788
1750-06-01,1750,6,15.3
1750-07-01,1750,7,19.557
1750-07-01,1750,7,18.142000000000003
1750-08-01,1750,8,18.177
1750-08-01,1750,8,16.625
1750-09-01,1750,9,12.738000000000005
1750-09-01,1750,9,12.398999999999996
1750-10-01,1750,10,4.532999999999999
1750-10-01,1750,10,5.266
1750-12-01,1750,12,-3.6830000000000007
1750-12-01,1750,12,-1.8340000000000007
1751-01-01,1751,1,-4.686999999999999
1751-01-01,1751,1,-3.192
1751-02-01,1751,2,-6.376
1751-02-01,1751,2,-4.439000000000001
1751-03-01,1751,3,3.2180000000000004
1751-03-01,1751,3,3.84
1751-04-01,1751,4,6.790999999999999
1751-04-01,1751,4,5.675000000000002
1751-06-01,1751,6,17.039
1751-06-01,1751,6,16.108999999999998
1751-07-01,1751,7,18.908
1751-07-01,1751,7,17.474999999999998
1751-08-01,1751,8,18.375
1751-08-01,1751,8,17.367
1751-09-01,1751,9,12.532999999999998
1751-09-01,1751,9,12.085
1752-01-01,1752,1,-5.490000000000001
1752-01-01,1752,1,-3.54
1752-03-01,1752,3,2.798
1752-03-01,1752,3,3.1650000000000014
1752-04-01,1752,4,7.608999999999999
1752-04-01,1752,4,6.761000000000001
1752-10-01,1752,10,7.635000000000001
1752-10-01,1752,10,7.901000000000001
1752-11-01,1752,11,3.736999999999999
1752-11-01,1752,11,4.339999999999999
1752-12-01,1752,12,-0.8079999999999998
1752-12-01,1752,12,0.284999999999999
1753-01-01,1753,1,-5.328999999999999
1753-01-01,1753,1,-4.503
1753-02-01,1753,2,-3.956999999999999
1753-02-01,1753,2,-2.5260000000000007
1753-03-01,1753,3,3.2069999999999985
1753-03-01,1753,3,3.5909999999999997
1753-04-01,1753,4,8.399999999999999
1753-04-01,1753,4,7.613999999999998
1753-05-01,1753,5,13.447
1753-05-01,1753,5,12.177
1753-06-01,1753,6,17.114
1753-06-01,1753,6,16.302999999999997
1753-07-01,1753,7,18.546000000000003
1753-07-01,1753,7,17.434
1753-08-01,1753,8,17.159000000000002
1753-08-01,1753,8,15.889
1753-09-01,1753,9,13.773000000000003
1753-09-01,1753,9,13.39
1753-10-01,1753,10,8.529000000000003
1753-10-01,1753,10,8.639999999999999
1753-11-01,1753,11,1.3859999999999988
1753-11-01,1753,11,1.7950000000000008
1753-12-01,1753,12,-6.178999999999999
1753-12-01,1753,12,-3.732000000000001
1754-01-01,1754,1,-5.133
